id,ชุด,ชนิด,type,correct,เลขที่ต้องมี,เลขที่พบในเฉลย,ร้อยละในเฉลย,ร้อยละในโจทย์,ธง,ตัวอย่างเลขที่หาย,given 120 ตัวอักษร
chap-03-realnumber-q146,chap-03-realnumber,รูป,fill,"(-6, -4) ∪ (-4, 1)",11,3,27%,0%,🟠 น่าสงสัย,60 36 52 32 66 44,
chap-03-realnumber-q147,chap-03-realnumber,รูป,mc,0,8,5,62%,25%,🟢 น่าจะเห็น,52 555 36,
chap-03-realnumber-q148,chap-03-realnumber,รูป,fill,"(-∞, -1) ∪ [0, 1]",4,2,50%,0%,🟢 น่าจะเห็น,60 36,
chap-03-realnumber-q149,chap-03-realnumber,รูป,fill,"(-∞, 0] ∪ (1, 2] ∪ [3, ∞)",3,1,33%,0%,🟠 น่าสงสัย,60 36,
chap-03-realnumber-q150,chap-03-realnumber,รูป,mc,2,5,2,40%,0%,🟠 น่าสงสัย,60 32 1565,
chap-03-realnumber-q151,chap-03-realnumber,รูป,fill,2,6,1,16%,0%,🟠 น่าสงสัย,60 36 32 66 44,
chap-03-realnumber-q152,chap-03-realnumber,รูป,mc,1,4,2,50%,25%,🟢 น่าจะเห็น,60 36,
chap-03-realnumber-q153,chap-03-realnumber,รูป,mc,0,6,1,16%,0%,🟠 น่าสงสัย,60 36 66 44 32,
chap-03-realnumber-q154,chap-03-realnumber,รูป,mc,2,9,3,33%,0%,🟠 น่าสงสัย,60 36 32 1.9375 1.96875 11,
chap-03-realnumber-q155,chap-03-realnumber,รูป,fill,"$\{-\sqrt{3},\ 1-\sqrt{2}\}$",10,2,20%,0%,🟠 น่าสงสัย,-1.73205 -0.414214 1.73205 2.41421 66 42,
chap-03-realnumber-q156,chap-03-realnumber,รูป,fill,"$[-4,-3) \cup (-3,-2]$",7,5,71%,14%,🟢 น่าจะเห็น,60 36,
chap-03-realnumber-q157,chap-03-realnumber,รูป,mc,0,7,4,57%,14%,🟢 น่าจะเห็น,60 36 32,
chap-03-realnumber-q158,chap-03-realnumber,รูป,mc,2,9,6,66%,0%,🟢 น่าจะเห็น,-3.33333 60 36,
chap-03-realnumber-q159,chap-03-realnumber,รูป,fill,-3,6,3,50%,0%,🟢 น่าจะเห็น,-1.66667 72 36,
chap-03-realnumber-q160,chap-03-realnumber,รูป,fill,"$(-\infty,-3) \cup (4,\infty)$",5,4,80%,20%,🟢 น่าจะเห็น,36,
chap-03-realnumber-q161,chap-03-realnumber,รูป,mc,1,9,6,66%,11%,🟢 น่าจะเห็น,0.0909091 60 36,
chap-03-realnumber-q162,chap-03-realnumber,รูป,fill,"$(-\infty, -4) \cup (0, \infty)$",4,2,50%,0%,🟢 น่าจะเห็น,60 36,
chap-03-realnumber-q168,chap-03-realnumber,รูป,fill,24,14,12,85%,0%,🟢 น่าจะเห็น,60 999,
chap-03-realnumber-q169,chap-03-realnumber,รูป,mc,1,3,0,0%,0%,🔴 ไม่เคยเห็น,60 36 11,
chap-03-realnumber-q26,chap-03-realnumber,รูป,mc,3,3,0,0%,0%,🔴 ไม่เคยเห็น,60 36 32,
chap-03-realnumber-q28,chap-03-realnumber,รูป,mc,3,6,1,16%,0%,🟠 น่าสงสัย,-0.666667 0.333333 60 36 32,
chap-03-realnumber-q32,chap-03-realnumber,รูป,mc,2,3,2,66%,0%,🟢 น่าจะเห็น,66,
chap-03-realnumber-q36,chap-03-realnumber,รูป,mc,1,4,2,50%,0%,🟢 น่าจะเห็น,0.25 60,
chap-03-realnumber-q37,chap-03-realnumber,รูป,mc,2,9,3,33%,0%,🟠 น่าสงสัย,-0.6667 60 36 32 66 44,
chap-03-realnumber-q38,chap-03-realnumber,รูป,mc,1,4,2,50%,0%,🟢 น่าจะเห็น,60 36,
chap-03-realnumber-q39,chap-03-realnumber,รูป,mc,1,5,3,60%,0%,🟢 น่าจะเห็น,60 36,
chap-03-realnumber-q40,chap-03-realnumber,รูป,mc,0,8,6,75%,12%,🟢 น่าจะเห็น,60 36,
chap-03-realnumber-q43,chap-03-realnumber,รูป,mc,2,5,0,0%,0%,🔴 ไม่เคยเห็น,-0.75 0.75 60 36 32,
chap-03-realnumber-q48,chap-03-realnumber,รูป,mc,4,4,1,25%,0%,🟠 น่าสงสัย,60 36 11,
chap-03-realnumber-q49,chap-03-realnumber,รูป,mc,0,6,1,16%,0%,🟠 น่าสงสัย,60 36 32 1565 65100,
chap-03-realnumber-q50,chap-03-realnumber,รูป,mc,3,4,2,50%,0%,🟢 น่าจะเห็น,60 36,
chap-03-realnumber-q51,chap-03-realnumber,รูป,mc,2,7,2,28%,0%,🟠 น่าสงสัย,0.666667 60 36 -0.5 3.5,
chap-03-realnumber-q52,chap-03-realnumber,รูป,mc,0,7,3,42%,0%,🟠 น่าสงสัย,60 36 32 66,
chap-03-realnumber-q53,chap-03-realnumber,รูป,mc,3,5,2,40%,0%,🟠 น่าสงสัย,60 36 32,
chap-03-realnumber-q54,chap-03-realnumber,รูป,mc,3,4,2,50%,25%,🟢 น่าจะเห็น,60 36,
chap-03-realnumber-q55,chap-03-realnumber,รูป,mc,2,9,3,33%,0%,🟠 น่าสงสัย,-1.73205 1.73205 60 36 66 44,
chap-03-realnumber-q56,chap-03-realnumber,รูป,mc,3,8,3,37%,0%,🟠 น่าสงสัย,60 36 66 44 32,
chap-03-realnumber-q57,chap-03-realnumber,รูป,mc,0,10,4,40%,0%,🟠 น่าสงสัย,60 36 52 32 66 44,
chap-03-realnumber-q58,chap-03-realnumber,รูป,mc,3,9,4,44%,0%,🟠 น่าสงสัย,60 36 66 44 32,
chap-03-realnumber-q59,chap-03-realnumber,รูป,mc,2,3,1,33%,0%,🟠 น่าสงสัย,60 36,
chap-03-realnumber-q60,chap-03-realnumber,รูป,mc,2,8,4,50%,0%,🟢 น่าจะเห็น,0.666667 36 66 44,
chap-03-realnumber-q61,chap-03-realnumber,รูป,mc,1,7,2,28%,14%,🟠 น่าสงสัย,60 36 66 44 1565,
chap-03-realnumber-q62,chap-03-realnumber,รูป,mc,1,3,1,33%,0%,🟠 น่าสงสัย,60 36,
chap-03-realnumber-q63,chap-03-realnumber,รูป,mc,0,6,3,50%,0%,🟢 น่าจะเห็น,60 36 0.25,
chap-03-realnumber-q64,chap-03-realnumber,รูป,mc,3,6,1,16%,0%,🟠 น่าสงสัย,1.6667 60 36 0392 32,
chap-03-realnumber-q65,chap-03-realnumber,รูป,mc,2,8,3,37%,0%,🟠 น่าสงสัย,-0.8333 60 36 0392 1565,
chap-03-realnumber-q66,chap-03-realnumber,รูป,mc,1,10,4,40%,0%,🟠 น่าสงสัย,-5.5 -0.8333 60 0392 32 1565,
chap-03-realnumber-q67,chap-03-realnumber,รูป,fill,5.5,8,4,50%,0%,🟢 น่าจะเห็น,60 36 32 66,
chap-03-realnumber-q68,chap-03-realnumber,รูป,mc,1,9,3,33%,0%,🟠 น่าสงสัย,40 -0.707107 0.71 0.707107 11 32,
chap-03-realnumber-q69,chap-03-realnumber,รูป,mc,2,13,9,69%,0%,🟢 น่าจะเห็น,60 36 -6.14143 8.14143,
chap-03-realnumber-q70,chap-03-realnumber,รูป,mc,1,10,5,50%,10%,🟢 น่าจะเห็น,60 36 72 34 32,
chap-03-realnumber-q72,chap-03-realnumber,รูป,mc,1,4,1,25%,0%,🟠 น่าสงสัย,68 46 1565,
chap-03-realnumber-q73,chap-03-realnumber,รูป,mc,1,8,3,37%,0%,🟠 น่าสงสัย,-2.5 60 36 -0.5 66,
chap-03-realnumber-q74,chap-03-realnumber,รูป,mc,0,5,2,40%,0%,🟠 น่าสงสัย,62 38 32,
chap-03-realnumber-q90,chap-03-realnumber,รูป,mc,0,6,2,33%,0%,🟠 น่าสงสัย,-1.5 -0.333333 60 36,
chap-03-realnumber-q91,chap-03-realnumber,รูป,mc,1,3,1,33%,0%,🟠 น่าสงสัย,96 32,
chap-07-trigonometry-q05,chap-07-trigonometry,รูป,mc,3,10,5,50%,10%,🟢 น่าจะเห็น,40 230 207 120 0.659,
